request_id,req_type,width,height,steps,seed,send_ts,arrival_ts,return_ts,backend,status_code,ok,e2e_s,error
baseline-00115,1536x1536_35,1536,1536,35,700115,1776523538.0372112,1776523585.5598416,1776524095.592516,http://127.0.0.1:18292,200,True,557.55530658504,
baseline-00116,768x768_20,768,768,20,700116,1776523538.0382054,1776523585.8037467,1776523670.0785327,http://127.0.0.1:18293,200,True,132.04032824502792,
baseline-00117,1024x1024_25,1024,1024,25,700117,1776523538.0392544,1776523586.3936672,1776524029.9507499,http://127.0.0.1:18294,200,True,491.9114970898954,
baseline-00118,1024x1024_25,1024,1024,25,700118,1776523538.0403473,1776523586.4444501,1776523883.2063787,http://127.0.0.1:18295,200,True,345.16603291395586,
baseline-00119,768x768_20,768,768,20,700119,1776523538.0414774,1776523586.4446063,1776523675.9142447,http://127.0.0.1:18296,200,True,137.87276877800468,
baseline-00120,1024x1024_25,1024,1024,25,700120,1776523538.0426514,1776523586.4446633,1776524088.9888613,http://127.0.0.1:18291,200,True,550.9462118039373,
baseline-00121,1024x1024_25,1024,1024,25,700121,1776523538.0438871,1776523586.4461906,1776523903.7368126,http://127.0.0.1:18292,200,True,365.69292683305684,
baseline-00122,1024x1024_25,1024,1024,25,700122,1776523538.0451515,1776523586.4463222,1776524111.2693827,http://127.0.0.1:18293,200,True,573.2242328490829,
baseline-00123,1024x1024_25,1024,1024,25,700123,1776523538.0464542,1776523604.9288821,1776524137.7232795,http://127.0.0.1:18294,200,True,599.6768263110425,
baseline-00124,512x512_20,512,512,20,700124,1776523538.0478075,1776523608.9967713,1776523666.84914,http://127.0.0.1:18295,200,True,128.8013335870346,
baseline-00125,768x768_20,768,768,20,700125,1776523538.049428,1776523610.1528742,1776523675.936059,http://127.0.0.1:18296,200,True,137.8866320089437,
baseline-00126,512x512_20,512,512,20,700126,1776523538.050912,1776523611.3894074,1776523688.2209208,http://127.0.0.1:18291,200,True,150.17001033690758,
baseline-00127,1536x1536_35,1536,1536,35,700127,1776523538.052403,1776523621.4174147,1776524344.690127,http://127.0.0.1:18292,200,True,806.6377260980662,
baseline-00128,1536x1536_35,1536,1536,35,700128,1776523538.0539289,1776523621.4180958,1776524537.6260781,http://127.0.0.1:18293,200,True,999.5721511170268,
baseline-00129,1024x1024_25,1024,1024,25,700129,1776523538.0555124,1776523623.263646,1776524178.1047025,http://127.0.0.1:18294,200,True,640.0491916079773,
