request_id,req_type,width,height,steps,seed,send_ts,arrival_ts,return_ts,backend,status_code,ok,e2e_s,error
baseline-00111,768x768_20,768,768,20,700111,1776515343.0453424,,1776515861.8539028,,200,True,518.808562038932,
baseline-00112,1024x1024_25,1024,1024,25,700112,1776515343.046162,,1776515773.2902567,,200,True,430.2440965271089,
baseline-00113,768x768_20,768,768,20,700113,1776515343.0470288,,1776515933.3957372,,200,True,590.3487101360224,
baseline-00114,1536x1536_35,1536,1536,35,700114,1776515343.047937,,1776516138.7964854,,200,True,795.7485502320342,
baseline-00115,1536x1536_35,1536,1536,35,700115,1776515343.0488844,,1776515866.9494877,,200,True,523.900604687049,
baseline-00116,768x768_20,768,768,20,700116,1776515343.0498755,,1776515995.3842485,,200,True,652.3343752060318,
baseline-00117,1024x1024_25,1024,1024,25,700117,1776515343.050915,,1776515886.4846113,,200,True,543.4336985449772,
baseline-00118,1024x1024_25,1024,1024,25,700118,1776515343.0520182,,1776515797.7581556,,200,True,454.7061391309835,
baseline-00119,768x768_20,768,768,20,700119,1776515343.0531478,,1776515949.4617012,,200,True,606.4085546649294,
baseline-00120,1024x1024_25,1024,1024,25,700120,1776515343.0543125,,1776516162.2956667,,200,True,819.2413560339483,
baseline-00121,1024x1024_25,1024,1024,25,700121,1776515343.0555418,,1776515890.6352167,,200,True,547.5796765949344,
baseline-00122,1024x1024_25,1024,1024,25,700122,1776515343.0568035,,1776516019.70862,,200,True,676.6518216280965,
baseline-00123,1024x1024_25,1024,1024,25,700123,1776515343.058107,,1776515910.4420714,,200,True,567.3839663940016,
baseline-00124,512x512_20,512,512,20,700124,1776515343.059471,,1776515813.9581168,,200,True,470.89864727598615,
baseline-00125,768x768_20,768,768,20,700125,1776515343.0610797,,1776515967.6074884,,200,True,624.5464098169468,
baseline-00126,512x512_20,512,512,20,700126,1776515343.062548,,1776516179.1396458,,200,True,836.0770988850854,
baseline-00127,1536x1536_35,1536,1536,35,700127,1776515343.0640693,,1776515974.2947643,,200,True,631.2306974290404,
baseline-00128,1536x1536_35,1536,1536,35,700128,1776515343.0656037,,1776516102.241451,,200,True,759.1758492030203,
baseline-00129,1024x1024_25,1024,1024,25,700129,1776515343.067186,,1776515934.8242116,,200,True,591.7570281049702,
baseline-00130,768x768_20,768,768,20,700130,1776515343.068803,,1776515830.5448222,,200,True,487.47602022998035,
baseline-00131,512x512_20,512,512,20,700131,1776515343.070464,,1776515983.380324,,200,True,640.3098609279841,
baseline-00132,1536x1536_35,1536,1536,35,700132,1776515343.0721955,,1776516263.1745467,,200,True,920.1023530130042,
baseline-00133,1536x1536_35,1536,1536,35,700133,1776515343.0739422,,1776516057.23447,,200,True,714.1605294370092,
baseline-00134,512x512_20,512,512,20,700134,1776515343.0757458,,1776516117.252249,,200,True,774.1765049310634,
baseline-00135,1024x1024_25,1024,1024,25,700135,1776515343.077576,,1776515959.7211888,,200,True,616.6436147859786,
baseline-00136,512x512_20,512,512,20,700136,1776515343.0794637,,1776515847.3645186,,200,True,504.28505619300995,
baseline-00137,1024x1024_25,1024,1024,25,700137,1776515343.0814,,1776516008.053313,,200,True,664.9719147629803,
baseline-00138,1024x1024_25,1024,1024,25,700138,1776515343.083378,,1776516286.6663725,,200,True,943.5829958720133,
baseline-00139,512x512_20,512,512,20,700139,1776515343.085386,,1776516071.9915218,,200,True,728.9061368040275,
baseline-00140,1024x1024_25,1024,1024,25,700140,1776515343.0874617,,1776516141.7763517,,200,True,798.6888917300384,
baseline-00141,1024x1024_25,1024,1024,25,700141,1776515343.089565,,1776515983.8885777,,200,True,640.7990143779898,
baseline-00142,768x768_20,768,768,20,700142,1776515343.0917296,,1776515864.5368915,,200,True,521.4451633499702,
baseline-00143,1536x1536_35,1536,1536,35,700143,1776515343.0939178,,1776516091.0332181,,200,True,747.9393016090617,
baseline-00144,1024x1024_25,1024,1024,25,700144,1776515343.0961697,,1776516310.658148,,200,True,967.561979905935,
baseline-00145,768x768_20,768,768,20,700145,1776515343.0984592,,1776516088.4178877,,200,True,745.3194298140006,
baseline-00146,1024x1024_25,1024,1024,25,700146,1776515343.1008031,,1776516165.8609219,,200,True,822.7601204119856,
baseline-00147,1024x1024_25,1024,1024,25,700147,1776515343.1031845,,1776516008.3129547,,200,True,665.2097718160367,
baseline-00148,768x768_20,768,768,20,700148,1776515343.1055899,,1776515880.9494047,,200,True,537.8438158729114,
baseline-00149,768x768_20,768,768,20,700149,1776515343.1080468,,1776516105.6930075,,200,True,762.5849618790671,
baseline-00150,1536x1536_35,1536,1536,35,700150,1776515343.1105564,,1776516394.2716734,,200,True,1051.1611183369532,
baseline-00151,1024x1024_25,1024,1024,25,700151,1776515343.1131222,,1776516112.8350043,,200,True,769.7218836139655,
baseline-00152,1024x1024_25,1024,1024,25,700152,1776515343.1159732,,1776516189.907112,,200,True,846.7911399359582,
baseline-00153,1024x1024_25,1024,1024,25,700153,1776515343.1186318,,1776516032.5897214,,200,True,689.4710909900023,
baseline-00154,512x512_20,512,512,20,700154,1776515343.1213377,,1776515896.4444711,,200,True,553.3231344929663,
baseline-00155,768x768_20,768,768,20,700155,1776515343.1240644,,1776516121.3208182,,200,True,778.1967551639536,
baseline-00156,768x768_20,768,768,20,700156,1776515343.1268396,,1776516410.3352365,,200,True,1067.2083983860211,
baseline-00157,1024x1024_25,1024,1024,25,700157,1776515343.1296456,,1776516136.9826076,,200,True,793.8529642730718,
baseline-00158,768x768_20,768,768,20,700158,1776515343.1325314,,1776516205.1821806,,200,True,862.0496500260197,
baseline-00159,768x768_20,768,768,20,700159,1776515343.1354647,,1776516049.5095737,,200,True,706.3741120070918,
baseline-00160,512x512_20,512,512,20,700160,1776515343.1384087,,1776515912.4616241,,200,True,569.3232164110523,
baseline-00161,1024x1024_25,1024,1024,25,700161,1776515343.141416,,1776516145.6921575,,200,True,802.5507422579685,
baseline-00162,768x768_20,768,768,20,700162,1776515343.144465,,1776516427.4464579,,200,True,1084.3019942789106,
baseline-00163,1536x1536_35,1536,1536,35,700163,1776515343.1475704,,1776516220.4818962,,200,True,877.3343275140505,
baseline-00164,1536x1536_35,1536,1536,35,700164,1776515343.1507022,,1776516287.883499,,200,True,944.7327981559793,
baseline-00165,512x512_20,512,512,20,700165,1776515343.1538696,,1776516065.8949323,,200,True,722.7410641619936,
baseline-00166,768x768_20,768,768,20,700166,1776515343.15709,,1776515928.7077742,,200,True,585.5506855169078,
baseline-00167,1024x1024_25,1024,1024,25,700167,1776515343.1603549,,1776516169.84812,,200,True,826.6877666389337,
baseline-00168,768x768_20,768,768,20,700168,1776515343.163667,,1776516444.8203988,,200,True,1101.6567330629332,
baseline-00169,512x512_20,512,512,20,700169,1776515343.1670249,,1776516235.2590005,,200,True,892.0919768610038,
baseline-00170,1536x1536_35,1536,1536,35,700170,1776515343.1704123,,1776516370.1608973,,200,True,1026.9904877049848,
baseline-00171,1024x1024_25,1024,1024,25,700171,1776515343.1738563,,1776516090.602012,,200,True,747.4281577330548,
baseline-00172,1024x1024_25,1024,1024,25,700172,1776515343.1773593,,1776515953.1934657,,200,True,610.0161075229989,
baseline-00173,1024x1024_25,1024,1024,25,700173,1776515343.1808963,,1776516194.0996892,,200,True,850.918794533005,
baseline-00174,1024x1024_25,1024,1024,25,700174,1776515343.1844873,,1776516469.3608992,,200,True,1126.1764136049896,
